阿党比周    相互勾结，相互偏袒，结党营私。
昂头阔步    见“昂首阔步”。
昂头挺胸    见“昂首挺胸”。
盎盂相击    见“盎盂相敲”。
盎盂相敲    比喻家庭口角。
嗷嗷待哺    迫于饥饿而急于求食的样子。
遨翔自得    自由自在的样子。
熬肠刮肚    谓从饮食方面尽力节俭。
熬更守夜    犹熬夜。
熬姜呷醋    比喻生活清苦。
熬枯受淡    忍受清苦的生活。
熬清守淡    谓忍受清苦乏味的生活。
熬清受淡    见“熬清守淡”。
熬心费力    谓耗费心神和气力。
熬油费火    谓耗费灯油。多指日夜忙碌。
聱牙戟口    形容文词艰涩，拗口难读。
聱牙诘曲    见“聱牙诘屈”。
聱牙诘屈    形容文辞艰涩难读。
聱牙诎曲    见“聱牙诘屈”。
謷牙诘屈    同“诘屈聱牙”。謷，通“聱”。
鼇里夺尊    又作：出类拔萃。
鼇头独占    比喻占首位或第一名。
鼇掷鲸呿    见“鼇掷鲸吞”。
鼇掷鲸吞    比喻文辞气势磅礴，跌宕起伏。
傲头傲脑    形容倔强的样子。
八拜之交    指结拜兄弟或姐妹的关系。
八窗玲珑    ①唐卢纶《赋得彭祖楼送杨德宗归徐州幕》诗：“四户八窗明，玲珑逼上清。”后称四壁窗户轩敞，室内通彻明亮为“八窗玲珑”。亦作“八窗玲珑”。②比喻通达明澈的修养境界。
八方呼应    各方面声气相通，相互配合。
八府巡按    巡按之名，起于明代，非固定职官，临时由朝廷委派监察御史担任，分别巡视各省，考核吏治。“八府巡按”常见于戏曲、小说，民间多视为清廉而有权势的大官。
八纮同轨    谓天下一统。
八面见光    形容说话、做事圆转，面面俱到。亦以讥讽人圆滑世故，各方讨好。
八面玲珑    ①谓四壁窗户轩敞，室内通彻明亮。②形容物体外观挺秀。③形容圆活、灵秀。④形容人世故圆滑，面面俱到，或善于应酬，各方面的关系都能应付。
八面驶风    形容善于见风使舵，各方面都兜得传。
八面受敌    ①谓功力深厚，能应付各种情况。②砚名。
八面威风    ①形容威风十足，声势慑人。②宋徽宗内库所藏玉杯名。见《通俗常言疏证·武备》引李绍闻《云间杂志》。
八面莹澈    比喻精明练达，洞察一切。
八面张罗    形容各方面都应酬得好。
八万四千    本为佛教表示事物众多的数字，后用以形容极多。
八仙过海    相传八仙过海时不用舟船，各有一套法术。民间因有“八仙过海，各显神通”的谚语。明无名氏《八仙过海》第二折：“则俺这八仙过海神通大，方显这众圣归山道法强，端的万古名扬。”《西游记》第八一回：“正是八仙过海，独自显神通。”后以比喻各自拿出本领或办法，互相竞赛。
八音遏密    《书·舜典》：“帝乃殂落，百姓如丧考妣。三载，四海遏密八音。”谓尧死，天下为之举哀，停止作乐。后以“八音遏密”指国君（或国家元首）去世。
八珍玉食    泛指精美的肴馔。
八字打开    意谓明白无隐，开门见山。
八字没见一撇    比喻事情毫无眉目，未见端绪。《通俗常言疏证》卷三：“《通俗编》：‘硃子《与刘子澄书》：圣贤已是八字打开了，人不自领会。’按今有‘八字不见两撇’之谚，似又因於此。凡事无端绪者，谓之八字不曾见两撇。”今通常作“八字没见一撇”。
巴巴急急    同“巴巴结结”。
巴巴劫劫    心情急切貌。
巴巴结结    ①勉强，凑合。②勤恳；辛劳。③形容说话不流利。
巴高望上    犹高攀，向上爬。
巴高枝兒    比喻高攀。v
巴人下里    ①即下里巴人。古代楚国流行的民间歌曲。用以称流俗的音乐。巴，古国名，在今四川东部一带，古为楚地。下里，乡里。②泛指粗俗的作品。
巴三览四    东拉西扯。
巴山度岭    爬山越岭。
巴山越岭    爬山越岭。形容善于登山行走。
扒耳搔腮    形容焦急而又无可奈何。
扒高踩低    比喻对上奉承攀附，对下欺侮压制。
拔本塞原    亦作“拔本塞源”。①比喻背弃根本。②铲除事物发生的根源。多用于坏事。
拔本塞源    见“拔本塞原”。
拔丛出类    又作：拔萃出类。
拔萃出类    同“出类拔萃”。谓高出众人。
拔萃出群    见“拔萃出类”。
拔刀相向    谓动武。
拔刀相助    拔出刀来助战。多指见义勇为。
拔丁抽楔    比喻排除疑难。丁，“钉”的古字。
拔锅卷席    ①比喻带走全部家当。②又作：卷铺盖。比喻被解雇。
拔剑论功    争论功劳激烈到几乎动武。语出《史记·刘敬叔孙通列传》：“高帝悉去秦苛仪法，为简易。群臣饮酒争功，醉或妄呼，拔剑击柱，高帝患之。”
拔葵去织    《史记·循吏列传》：“扞公仪休呴食茹而美，拔其园葵而弃之。见其家织布好，而疾出其家妇，燔其机，云：‘欲令农士工女安所雠其货乎？’”后以“拔葵去织”为居官不与民争利的典故。
拔来报往    速来速往。后以指往来频繁。报，通“赴”。语出《礼记·少仪》：“毋拔来，毋报往。”郑玄注：“报，读为‘赴疾’之‘赴’。拔、赴皆疾也。”
拔类超群    见“拔萃出类”。
拔毛济世    谓受轻微损失而能有利于世人。语出《列子·杨硃》：“禽子问杨硃曰：‘去子体之一毛以济一世，汝为之乎？’杨子曰：‘世固非一毛之所济。’禽子曰：‘假济，为之乎？’杨子弗应。”
拔茅连茹    比喻递相推荐引进。语出《易·泰》：“拔茅茹以其汇。”王弼注：“茅之为物，拔其根而相牵引者也。茹，相牵引之貌也。”硃熹本义：“三阳在下，拔茅连茹之象。”
拔苗助长    同“揠苗助长”。
拔群出萃    高出众人。多指才能。
拔山盖世    谓勇猛无敌于天下。语出《史记·项羽本纪》：“力拔山兮气盖世，时不利兮骓不逝。”
拔山举鼎    同“拔山扛鼎”。
拔山扛鼎    形容力量超人或气势雄伟。语出《史记·项羽本纪》：“籍长八尺馀，力能扛鼎。”又：“力拔山兮气盖世。”
拔十得五    谓选拔人才而得其半数。
拔十失五    谓选拔人才而失其半数。
拔树搜根    见“拔树寻根”。
拔树寻根    比喻追根究底，彻底查问。
拔犀擢象    比喻提拔特出人才。
拔辖投井    谓殷勤留客饮酒。
拔新领异    创立新意，提出独特见解。
拔宅飞昇    见“拔宅上昇”。
拔宅上昇    《太平广记》卷十四引《十二真君传·许真君》：“真君以东晋孝武帝太康二年八月一日，於洪州西山，举家四十二口，拔宅上昇而去。”后因以“拔宅上昇”。指全家成仙。
拔赵易汉    见“拔赵帜易汉帜”。
拔赵帜立赤帜    见“拔赵帜易汉帜”。
拔赵帜易汉帜    据《史记·淮阴侯列传》载，韩信率汉军击赵，将至井陉口，先挑选轻骑二千，人持一赤帜，抄小路埋伏于赵营附近。接着背水列阵以诱赵。赵军出击，汉军佯败而走，赵军果空营追击。“信所出奇兵二千骑，共候赵空壁逐利，则驰入赵壁，皆拔赵旗，立汉赤帜二千。”赵军进击不能胜，欲回营，见营中尽是汉军赤帜，大惊，“以为汉皆已得赵王将矣”，于是溃不成军，终于为信所灭。后遂用以为偷换取胜或战胜、胜利之典。
拔帜树帜    同“拔赵帜易汉帜”。
跋胡疐尾    《诗·豳风·狼跋》：“狼跋其胡，载疐其尾。”后以“跋胡疐尾”喻进退两难。
跋扈飞扬    骄横放肆。
跋扈自恣    专横强暴，为所欲为。
跋扈恣睢    见“跋扈自恣”。
跋来报往    匆匆地跑来跑去。跋，通“拔”。语本《礼记·少仪》：“毋拔来，毋报往。”郑玄注：“报读为赴疾之赴，拨、赴皆疾也。”
跋履山川    同“跋山涉水”。
跋前踕后    同“跋胡疐尾”。
跋前疐后    同“跋胡疐尾”。
跋前踬后    同“跋胡疐尾”。
跋山涉川    见“跋山涉水”。
跋山涉水    亦作“跋山涉川”。形容远道奔波之苦。
跋涉山川    同“跋山涉水”。
把臂入林    谓与友人一同归隐。
把饭叫饥    比喻多此一举。
把酒持螯    手持蟹螯饮酒。古人视为人生一大乐事。语本《晋书·毕卓传》：“卓尝谓人曰：‘得酒满数百斛船，四时甘味置两头，右手持酒杯，左手持蟹螯，拍浮酒船中，便足了一生矣。’”
罢於奔命    原谓因受命到处奔走而精疲力尽。后以指忙于奔走应付，非常疲劳。
霸道横行    又作：横行霸道。
白璧青蝇    唐陈子昂《宴胡楚真禁所》诗：“青蝇一相点，白璧遂成冤。”青蝇玷白璧，比喻谗人陷害忠良。
白璧三献    楚人和氏得玉璞，两献楚王，两遭刖足。第三次王使治璞，得白玉，琢以为璧，世称“和氏璧”。见《韩非子·和氏》。后因以“白璧三献”喻不识良材或怀才不遇。
白璧微瑕    白玉上的小斑点。比喻美中不足，有小缺点。
白璧无瑕    ①白玉上没有一点斑点。比喻品德完美。②喻女子坚贞自守。
白齿青眉    指青少年时期。
白藋同心    又作：心如野草。形容不羡荣华的品节。
白发青衫    ①谓晚年得官。唐宋时文官品级低的穿青色服。②谓晚年尚作微官。
白黑不分    比喻清浊混乱，是非不明。
白黑颠倒    又作：白黑不分。
白虹贯日    ①白色长虹穿日而过。一种罕见的日晕天象。古人认为人间有非常之事发生，就会出现这种天象变化。②比喻眼睛多白。
白华之怨    谓女子失宠之哀怨。
白话八股    用白话写的类似旧时八股式的文章。喻指应命而写的刻板文章。
白袷蓝衫    旧时士人的服装。亦借指尚未取得功名的士人。
白驹过郤    亦作“白驹过隙”。谓日影如白色的骏马飞快地驰过缝隙。形容时间过得极快。
白驹过隙    见“白驹过郤”。
白驹空谷    《诗·小雅·白驹》：“皎皎白驹，在彼空谷。”谓白驹在空谷。比喻贤人在野而不出仕。后亦以“白驹空谷”比喻贤人出仕而谷空。
白龙鱼服    汉刘向《说苑·正谏》：“昔白龙下清泠之渊，化为鱼，渔者豫且射中其目。”后以“白龙鱼服”比喻贵人微服出行，恐有不测之虞。
白面儒冠    犹白面书生。
白面儒生    犹白面书生。
白面书郎    犹白面书生。
白面书生    指只知读书，阅历少，见识浅的读书人。有时含贬义。亦泛指读书人。
白帢青衫    古代士人所戴的帽和所穿的衣。因即指士人。
白日飞升    见“白日飞昇”。
白日飞昇    亦作“白日飞升”。犹白日升天。
白日见鬼    ①旧喻官衙清闲冷落。②比喻虚妄荒诞，不可能出现的事。
白日青天    白天。表示强调。
白日上昇    又作：白日升天。
白日昇天    ①道教谓人修炼得道后，白昼飞升天界成仙。②五代王定保《唐摭言·好放孤寒》：“元和十一年，岁在丙申，李凉公下三十三人，皆取寒素。时有诗曰：‘元和天子丙申年，三十三人同得仙，袍似烂银文似锦，相将白日上青天。’”后遂以喻指一朝显贵。
白日绣衣    又作：衣锦昼行。旧时比喻有了功名富贵去夸耀乡里。
白日作梦    见“白日做梦”。
白日做梦    比喻幻想不可能实现。
白山黑水    长白山和黑龙江的合称。亦泛指我国东北地区。
白手成家    见“白手起家”。
白手空拳    形容手中一无所有。
白手起家    形容原来无基础或条件很差而创出一番事业。
白手兴家    见“白手起家”。
白首北面    谓年已老犹从师受业。形容好学不倦。
白首空归    谓到老而无所成就。
白首齐眉    犹白首相庄。
白首穷经    谓直到年老尚钻研经籍。形容好学不倦。
白首如新    同“白头如新”。
白首同归    晋潘岳《金谷集作诗》：“春荣谁不慕，岁寒良独希；投分寄石友，白首同所归。”原谓友谊坚贞，至老不变。南朝宋刘义庆《世说新语·仇隙》：“孙秀既恨石崇不与绿珠，又憾潘岳昔遇之不以礼……收石崇、欧阳坚石（欧阳建），同日收岳。石先送市，亦不相知。潘后至，石谓潘曰：‘安仁，卿亦复尔邪？’潘曰：‘可谓白首同所归。’”当时以为潘诗适成其谶。后转指年龄皆老而同时死亡。
白首为郎    《汉武故事》载：武帝尝至郎署，见郎官颜驷“须鬓皓白，衣服不整”。武帝问他：“何时为郎？”答道：“以文帝时为郎。”武帝又问为什么“老而不遇”？他回答说：“文帝好文而臣尚武，景帝好老而臣尚少，陛下好少而臣已老，是以三世不遇。”后因以“白首为郎”慨叹虽有才能而至老不遇。
白首相庄    谓夫妇到老犹相敬爱。
白首一节    谓年虽老而志节不衰。
白天见鬼    见“白日见鬼”。
白头不终    谓夫妇不能偕老。
白头叠雪    见“白头蹀跇”。
白头蹀跇    形容老人发白体弱。
白头而新    同“白头如新”。
白头如新    谓相交虽久而并不知己，像新知一样。
白头相并    又作：白头偕老。
白头偕老    谓夫妇共同生活到老。
白头之叹    谓妇女被遗弃而作晚景凄凉之叹。
白兔赤乌    月亮和太阳的代称。多借指时间。
白屋之士    指贫寒的士人。
白雪阳春    《白雪》《阳春》是战国时期楚国的两支高雅歌曲。见《文选·宋玉〈楚王问〉》。后亦用以泛指高雅的诗歌和其他文学艺术。
白衣苍狗    唐杜甫《可叹》诗：“天上浮云如白衣，斯须改变如苍狗。”后以“白衣苍狗”比喻世事变化无常。
白衣卿相    指尚未发迹的读书人。
白衣秀士    指尚未做官的读书人。
白衣宰相    指宰相家属中身无名位而仗势擅权的人。
白蚁争穴    比喻竞逐名利。
白鱼赤乌    《史记·周本纪》：“武王渡河，中流，白鱼跃入王舟中，武王俯取以祭。既渡，有火自上复于下，至于王屋，流为乌，其色赤，其声魄云。”后遂以“白鱼赤乌”为祥瑞之兆。
白鱼登舟    见“白鱼入舟”。
白鱼入舟    《尚书大传》卷三：“八百诸侯俱至孟津，白鱼入舟。”《史记·周本纪》：“武王渡河，中流，白鱼跃入王舟中，武王府取以祭。”裴骃集解引马融曰：“鱼者，介鳞之物，兵象也。白者，殷家之正色，言殷之兵众与周之象也。”后遂以“白鱼入舟”为殷亡周兴之兆。
白玉微瑕    见“白璧微瑕”。
白云苍狗    同“白衣苍狗”。
白云亲舍    《旧唐书·狄仁杰传》：“其亲在河阳别业，仁杰赴并州，登太行山，南望见白云孤飞，谓左右曰：‘吾亲所居，在此云下。’瞻望伫立久之，云移乃行。”后因以“白云亲舍”为思念亲人的典故。
白纸黑字    ①白纸上留下了黑的字。比喻徒具形式。②比喻有确凿的文字凭据。
百八真珠    念珠。因念珠每串一百零八颗，故称。
百宝万货    指大量珍宝财物。
百不当一    一百个抵挡不住一个。
百不失一    又作：万无一失。形容绝不会失误。
百不为多，一不为少    谓难得的好人或好东西。
百不一贷    又作：无一宽免。
百不一遇    一百次中遇不到一次。形容极其难得。
百步穿杨    《史记·周本纪》：“楚有养由基者，善射者也。去柳叶百步而射之，百发而百中之。左右观者数千人，皆曰善射。”后因以“百步穿杨”形容射术非常高明。
百尺竿头    ①桅杆及杂技长竿的顶端。②喻极高的官位和功名。③喻学问、事业有很高的成就。④佛教语。比喻道行达到极高的境界。
百尺无枝    汉枚乘《七发》：“龙门之桐，高百尺而无枝。”后因以“百尺无枝”比喻罕见的大而有用之材。
百川朝海    众水奔流趋向大海。多比喻无数分散的事物都汇集到一处。
百川归海    见“百川朝海”。
百代文宗    永为后世宗仰的文人。
百读不厌    诵读多遍，不感厌倦。语出宋苏轼《送安惇秀才失解西归》诗：“旧书不厌百回读，熟读深思子自知。”后因以“百读不厌”形容文章高超。
百端待举    见“百凡待举”。
百堕俱举    同“百废俱兴”。
百二关河    同“百二山河”。
百二金瓯    同“百二山河”。
百二山川    同“百二山河”。
百二山河    喻山河险固之地。
百发百中    ①形容射术高明，百不失一。②比喻料事和打算极有把握。
百凡待举    无数事情都等待兴办。
百废待举    见“百废待兴”。
百废待兴    谓许多被废置的事业都等着兴办。
百废具举    见“百废俱举”。
百废具兴    见“百废俱兴”。
百废具作    同“百废俱兴”。
百废俱举    同“百废俱兴”。
百废俱兴    谓一切废置的事都兴办起来。
百废咸举    同“百废俱兴”。
百感交集    种种感触交织在一起。形容感慨无比。
百怪千奇    形容花样繁多。
百鬼众魅    各种妖魔鬼怪。
百花齐放，百家争鸣    比喻艺术上不同的形式和风格的自由发展，科学上不同学派的自由争论。是中国共产党１９５６年提出的文艺方针。
百花齐放    ①谓千百种花同时开放，争奇斗艳。后借喻事物繁茂纷呈。②比喻艺术上的不同形式和风格自由地发展。参见“百花齐放，百家争鸣”。
百喙如一    又作：众口一辞。
百喙一词    见“百喙如一”。
百计千方    谓想尽或用尽所有办法。
百家争鸣    原指我国战国时期学术界互相辩争的风气。当时学术派别很多，著名的有儒、法、道、墨、名、阴阳、纵横、农、杂等家。他们著书立说，游说争辩，形成“百家争鸣”的局面。这种局面，对当时思想、文化、学术的发展有很大的推动作用。后用以称学术研究中各抒己见以求发展的方法。
百结愁肠    谓愁绪如结无法解开。
百结悬鹑    比喻衣衫破烂。鹑鸟尾秃，像补缀百结，故云。
百举百捷    见“百举百全”。
百举百全    做一百件事，成功一百件。谓办事万无一失。
百孔千疮    亦作“百孔千创”。①比喻残破缺漏非常严重。②比喻弊病弱点很多。③比喻困苦不堪。
百孔千创    见“百孔千疮”。
百口莫辩    谓纵有众多的嘴也不能辩解。
百里挑一    ①形容不可多得。②谓挑选严格。
百里之命    指国君的政令。百里，指诸侯国。
百炼成钢    铁经过多次锻炼，能炼成钢。比喻久经斗争生活的考验，变得非常坚强。
百虑一致    谓使各种不同的思想归于一致。语出《易·系辞下》：“天下何思何虑，天下同归而殊涂，一致而百虑。”
百媚千娇    极言娇媚动人。
百密一疏    在极周密的考虑中偶然出现了一点疏忽。
百年不遇    形容很少遇见。
百年大计    指有关长远利益的计划或措施。
百年好事    指婚姻喜事。
百年树人    培育人才需要百年。谓育才是百年大计，要付出艰苦的劳动。
百年偕老    谓夫妻共同生活到老。
百年谐老    见“百年偕老”。
百年之好    永久的好合。指男女结为夫妇。
百年之约    即婚约。
百品千条    繁多的名目。
百巧成穷    见“百巧千穷”。
百巧千穷    谓有多种才能的人反而贫困不堪。
百忍成金    《旧唐书·孝友传·张公艺》：“郓州寿张人张公艺，九代同居……麟德中，高宗有事泰山，路过郓州，亲幸其宅，问其义由。其人请纸笔，但书百馀‘忍’字。”后以“百忍成金”形容忍耐的可贵。
百舍重茧    见“百舍重趼”。
